_id,type,question,scale,content
ObjectId(61a73d1a93c2eaef0dd5ecae),4,Choose the audio piece you find most descriptive of the painting.,"[null,null]","[""Enrique_Simonet_-_El_barbero_del_zoco_-_1897.jpg"",""presentation_evaluation_model_1_no_scene/Enrique_Simonet_-_El_barbero_del_zoco_-_1897.mp3"",""presentation_evaluation_model_2_no_scene/Enrique_Simonet_-_El_barbero_del_zoco_-_1897.mp3"",""presentation_evaluation_model_3_no_scene/Enrique_Simonet_-_El_barbero_del_zoco_-_1897.mp3"",""presentation_evaluation_model_4_no_scene/Enrique_Simonet_-_El_barbero_del_zoco_-_1897.mp3""]"
ObjectId(61a73d1a93c2eaef0dd5ecaf),5,Choose the audio piece you find most pleasant to listen to.,"[null,null]","[""presentation_evaluation_model_1_no_scene/Enrique_Simonet_-_El_barbero_del_zoco_-_1897.mp3"",""presentation_evaluation_model_2_no_scene/Enrique_Simonet_-_El_barbero_del_zoco_-_1897.mp3"",""presentation_evaluation_model_3_no_scene/Enrique_Simonet_-_El_barbero_del_zoco_-_1897.mp3"",""presentation_evaluation_model_4_no_scene/Enrique_Simonet_-_El_barbero_del_zoco_-_1897.mp3""]"
ObjectId(61a73d1a93c2eaef0dd5ecb0),4,Choose the audio piece you find most descriptive of the painting.,"[null,null]","[""charge_of_the_scots_greys _at_waterloo .jpg"",""presentation_evaluation_model_1_no_scene/charge_of_the_scots_greys _at_waterloo .mp3"",""presentation_evaluation_model_2_no_scene/charge_of_the_scots_greys _at_waterloo .mp3"",""presentation_evaluation_model_3_no_scene/charge_of_the_scots_greys _at_waterloo .mp3"",""presentation_evaluation_model_4_no_scene/charge_of_the_scots_greys _at_waterloo .mp3""]"
ObjectId(61a73d1a93c2eaef0dd5ecb1),5,Choose the audio piece you find most pleasant to listen to.,"[null,null]","[""presentation_evaluation_model_1_no_scene/charge_of_the_scots_greys _at_waterloo .mp3"",""presentation_evaluation_model_2_no_scene/charge_of_the_scots_greys _at_waterloo .mp3"",""presentation_evaluation_model_3_no_scene/charge_of_the_scots_greys _at_waterloo .mp3"",""presentation_evaluation_model_4_no_scene/charge_of_the_scots_greys _at_waterloo .mp3""]"
ObjectId(61a73d1a93c2eaef0dd5ecb2),4,Choose the audio piece you find most descriptive of the painting.,"[null,null]","[""figurative-John_Lavery-The_Fairy_Fountain_Glasgow_International_Exhibition-1888-294.jpg"",""presentation_evaluation_model_1_no_scene/figurative-John_Lavery-The_Fairy_Fountain_Glasgow_International_Exhibition-1888-294.mp3"",""presentation_evaluation_model_2_no_scene/figurative-John_Lavery-The_Fairy_Fountain_Glasgow_International_Exhibition-1888-294.mp3"",""presentation_evaluation_model_3_no_scene/figurative-John_Lavery-The_Fairy_Fountain_Glasgow_International_Exhibition-1888-294.mp3"",""presentation_evaluation_model_4_no_scene/figurative-John_Lavery-The_Fairy_Fountain_Glasgow_International_Exhibition-1888-294.mp3""]"
ObjectId(61a73d1a93c2eaef0dd5ecb3),5,Choose the audio piece you find most pleasant to listen to.,"[null,null]","[""presentation_evaluation_model_1_no_scene/figurative-John_Lavery-The_Fairy_Fountain_Glasgow_International_Exhibition-1888-294.mp3"",""presentation_evaluation_model_2_no_scene/figurative-John_Lavery-The_Fairy_Fountain_Glasgow_International_Exhibition-1888-294.mp3"",""presentation_evaluation_model_3_no_scene/figurative-John_Lavery-The_Fairy_Fountain_Glasgow_International_Exhibition-1888-294.mp3"",""presentation_evaluation_model_4_no_scene/figurative-John_Lavery-The_Fairy_Fountain_Glasgow_International_Exhibition-1888-294.mp3""]"
ObjectId(61a73d1a93c2eaef0dd5ecb4),4,Choose the audio piece you find most descriptive of the painting.,"[null,null]","[""cityscape-Alfred_Sisley-Snow_at_Louveciennes-1878-46709.jpg"",""presentation_evaluation_model_1_no_scene/cityscape-Alfred_Sisley-Snow_at_Louveciennes-1878-46709.mp3"",""presentation_evaluation_model_2_no_scene/cityscape-Alfred_Sisley-Snow_at_Louveciennes-1878-46709.mp3"",""presentation_evaluation_model_3_no_scene/cityscape-Alfred_Sisley-Snow_at_Louveciennes-1878-46709.mp3"",""presentation_evaluation_model_4_no_scene/cityscape-Alfred_Sisley-Snow_at_Louveciennes-1878-46709.mp3""]"
ObjectId(61a73d1a93c2eaef0dd5ecb5),5,Choose the audio piece you find most pleasant to listen to.,"[null,null]","[""presentation_evaluation_model_1_no_scene/cityscape-Alfred_Sisley-Snow_at_Louveciennes-1878-46709.mp3"",""presentation_evaluation_model_2_no_scene/cityscape-Alfred_Sisley-Snow_at_Louveciennes-1878-46709.mp3"",""presentation_evaluation_model_3_no_scene/cityscape-Alfred_Sisley-Snow_at_Louveciennes-1878-46709.mp3"",""presentation_evaluation_model_4_no_scene/cityscape-Alfred_Sisley-Snow_at_Louveciennes-1878-46709.mp3""]"
ObjectId(61a73d1a93c2eaef0dd5ecb6),4,Choose the audio piece you find most descriptive of the painting.,"[null,null]","[""Paul_delvaux_the_viaducto.jpg"",""presentation_evaluation_model_1_no_scene/Paul_delvaux_the_viaducto.mp3"",""presentation_evaluation_model_2_no_scene/Paul_delvaux_the_viaducto.mp3"",""presentation_evaluation_model_3_no_scene/Paul_delvaux_the_viaducto.mp3"",""presentation_evaluation_model_4_no_scene/Paul_delvaux_the_viaducto.mp3""]"
ObjectId(61a73d1a93c2eaef0dd5ecb7),5,Choose the audio piece you find most pleasant to listen to.,"[null,null]","[""presentation_evaluation_model_1_no_scene/Paul_delvaux_the_viaducto.mp3"",""presentation_evaluation_model_2_no_scene/Paul_delvaux_the_viaducto.mp3"",""presentation_evaluation_model_3_no_scene/Paul_delvaux_the_viaducto.mp3"",""presentation_evaluation_model_4_no_scene/Paul_delvaux_the_viaducto.mp3""]"
